Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
22,2018,26,3,1520,1265,2,0,14,06/27/2018 00:18:37,06/27/2018 21:41:51
22,2018,27,1,171,95,0,0,6,07/03/2018 15:04:00,07/03/2018 15:04:00
22,2018,36,1,29,4,0,0,5,09/04/2018 19:28:50,09/04/2018 19:28:50
22,2018,37,2,922,69,0,0,11,09/11/2018 17:02:59,09/12/2018 23:27:04
22,2018,38,1,476,79,2,0,6,09/20/2018 17:22:51,09/20/2018 17:22:51
22,2018,39,2,16,6,0,0,6,09/26/2018 18:10:12,09/28/2018 15:01:38
22,2018,40,1,19,0,0,0,1,10/01/2018 19:42:51,10/01/2018 19:42:51
22,2018,42,1,56347,59,64,0,20,10/20/2018 03:16:24,10/20/2018 03:16:24
22,2018,43,6,3952,103,15,0,20,10/21/2018 04:19:46,10/25/2018 15:02:02
22,2018,44,5,3421,2385,6,0,37,10/29/2018 21:44:52,11/02/2018 15:23:01
22,2018,45,3,34041,162,7,0,18,11/05/2018 18:20:01,11/09/2018 18:03:47
22,2018,47,1,148,4,3,0,4,11/19/2018 19:32:50,11/19/2018 19:32:50
22,2018,48,3,9595,406165,29,86,63,11/26/2018 22:12:07,12/01/2018 22:56:57
22,2018,49,4,2661,153,20,1,27,12/02/2018 15:54:14,12/07/2018 18:05:34
22,2018,51,4,1883,2495,13,5,24,12/18/2018 22:04:27,12/20/2018 18:07:14
22,2019,2,2,154,9,2,0,17,01/07/2019 20:35:06,01/08/2019 01:31:27
22,2019,3,1,4,4,0,0,2,01/14/2019 18:10:08,01/14/2019 18:10:08
22,2019,7,1,10,13,0,0,12,02/14/2019 21:27:18,02/14/2019 21:27:18
22,2019,8,4,578,383,0,0,50,02/18/2019 22:22:06,02/21/2019 19:17:56
22,2019,9,1,250,178,0,1,5,02/26/2019 22:15:24,02/26/2019 22:15:24
22,2019,12,3,1049,365,2,0,57,03/18/2019 22:08:02,03/22/2019 14:33:18
22,2019,13,1,4,8,0,0,2,03/24/2019 23:37:59,03/24/2019 23:37:59
22,2019,16,4,400,297,1,0,14,04/15/2019 22:01:33,04/20/2019 00:20:33
22,2019,17,4,35,18,0,0,9,04/24/2019 15:51:06,04/24/2019 22:56:54
22,2019,22,2,26,3,0,0,3,05/28/2019 04:29:11,05/28/2019 05:30:53
22,2019,27,1,11184,98,51,0,9,07/01/2019 12:36:08,07/01/2019 12:36:08
22,2019,52,3,25225,36,69,0,12,12/26/2019 18:17:52,12/26/2019 18:33:53
22,2020,2,3,127,123,0,0,11,01/05/2020 08:30:42,01/08/2020 18:24:44
22,2020,5,3,141,80,0,0,10,01/27/2020 19:46:00,01/30/2020 11:19:33
22,2020,6,1,4686,47,18,0,7,02/05/2020 13:16:51,02/05/2020 13:16:51
22,2020,15,1,1087,1,5,0,4,04/10/2020 07:44:06,04/10/2020 07:44:06
22,2020,21,1,893,443,2,0,15,05/18/2020 06:26:13,05/18/2020 06:26:13
22,2020,22,1,98,83,0,0,4,05/26/2020 04:20:47,05/26/2020 04:20:47
22,2020,23,1,7492,9,20,0,9,06/04/2020 12:14:24,06/04/2020 12:14:24
22,2021,42,1,142,28,1,0,4,10/12/2021 02:09:21,10/12/2021 02:09:21
23,2018,19,1,1,1,0,0,1,05/11/2018 18:40:08,05/11/2018 18:40:08
24,2018,19,1,16,15,0,0,7,05/12/2018 16:18:47,05/12/2018 16:18:47
25,2018,19,1,4560,17,18,0,4,05/12/2018 23:31:50,05/12/2018 23:31:50
25,2018,20,1,40,1,0,0,2,05/15/2018 00:53:20,05/15/2018 00:53:20
25,2018,21,2,1640,297,1,1,24,05/22/2018 02:32:49,05/25/2018 23:04:07
25,2018,22,2,1919,6976,2,1,32,05/28/2018 15:43:13,05/31/2018 21:14:25
25,2018,23,3,5449,3351,5,0,17,06/04/2018 22:55:34,06/06/2018 18:50:08
25,2018,25,1,2,0,0,0,1,06/21/2018 08:27:38,06/21/2018 08:27:38
25,2018,26,4,72915,103,105,0,15,06/26/2018 20:50:34,06/27/2018 19:17:39
25,2018,27,2,7589,4890,1,0,21,07/02/2018 20:51:32,07/02/2018 22:16:37
25,2018,30,1,1518,735,4,1,8,07/23/2018 16:33:55,07/23/2018 16:33:55
25,2018,31,2,5174,36,20,0,22,08/01/2018 18:16:23,08/03/2018 02:00:38
25,2018,32,2,51,48,0,0,8,08/08/2018 17:07:58,08/08/2018 17:15:04
25,2018,35,2,144,16,5,0,5,08/27/2018 17:47:08,08/28/2018 03:02:06
25,2018,36,2,126,0,11,0,3,09/03/2018 21:16:22,09/05/2018 06:22:38
25,2018,38,2,4039,8134,6,8,251,09/19/2018 20:20:19,09/21/2018 18:51:19
25,2018,40,1,31105,11,82,0,19,10/02/2018 23:57:30,10/02/2018 23:57:30
25,2018,42,1,1,1,0,0,1,10/20/2018 20:06:00,10/20/2018 20:06:00
25,2018,48,1,1322,99,3,0,16,11/28/2018 00:02:55,11/28/2018 00:02:55
25,2018,49,1,245,18,0,0,7,12/03/2018 18:53:30,12/03/2018 18:53:30
25,2018,52,3,9656,10619,2,0,1606,12/23/2018 18:53:15,12/25/2018 08:04:04
25,2019,1,3,1830,1983,0,9,5,01/04/2019 22:04:39,01/05/2019 02:08:36
25,2019,2,1,64,28943,0,35,42,01/07/2019 05:54:13,01/07/2019 05:54:13
25,2019,4,6,118,9,3,0,11,01/23/2019 21:55:44,01/24/2019 05:32:25
25,2019,5,3,10,4,0,0,5,01/28/2019 07:58:15,01/29/2019 23:56:33
25,2019,7,3,1528,1272,3,0,53,02/11/2019 17:16:50,02/16/2019 06:03:46
25,2019,8,12,4535,4926,0,3,191,02/19/2019 01:11:59,02/23/2019 22:10:53
25,2019,9,7,494,498,2,0,132,02/25/2019 23:09:44,03/02/2019 15:14:21
25,2019,10,1,81,68,0,0,43,03/03/2019 23:28:35,03/03/2019 23:28:35
25,2019,11,2,26,14,0,0,14,03/11/2019 21:02:18,03/14/2019 17:59:42
25,2019,12,7,247,86,4,0,28,03/18/2019 17:12:21,03/22/2019 21:25:10
25,2019,13,4,170,110,2,0,7,03/25/2019 22:22:23,03/28/2019 23:48:56
25,2019,14,4,439,209,0,1,39,04/02/2019 02:38:00,04/05/2019 21:27:32
25,2019,15,14,2797,495,10,0,138,04/08/2019 16:35:09,04/12/2019 00:41:59
25,2019,16,23,1041,307,8,0,58,04/16/2019 18:20:31,04/20/2019 23:50:19
25,2019,17,22,467,412,5,3,70,04/21/2019 17:54:22,04/26/2019 20:41:06
25,2019,18,4,255,138,2,0,19,04/29/2019 20:57:14,05/02/2019 19:32:08
25,2019,20,2,173,124,2,0,9,05/15/2019 04:46:21,05/16/2019 22:25:54
25,2019,21,1,141,68,2,2,6,05/22/2019 21:46:48,05/22/2019 21:46:48
25,2019,23,7,2155,1227,5,0,12,06/03/2019 18:40:37,06/05/2019 00:51:14
25,2019,24,2,9,38,0,0,2,06/12/2019 15:58:31,06/13/2019 16:28:59
25,2019,25,1,16,10,0,0,2,06/18/2019 17:24:25,06/18/2019 17:24:25
25,2019,27,7,3373,1873,5,1,46,07/01/2019 12:29:32,07/03/2019 05:39:12
25,2019,28,1,10,10,0,0,4,07/09/2019 23:24:30,07/09/2019 23:24:30
25,2019,31,1,1,1,0,0,1,08/03/2019 14:46:22,08/03/2019 14:46:22
25,2019,32,5,3951,4836,13,5,17,08/06/2019 07:14:16,08/06/2019 11:37:57
25,2019,34,1,13618,88,124,0,11,08/23/2019 16:57:11,08/23/2019 16:57:11
